chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.215945702,0.687569333,0.262467406,0.402551104,0.298072759,0.203038302,0.736032163,0.451786387,0.281007623,0,0.308812553,0.435334502,0.219549261,0.313791343,0.712040293,0.258248995,0.343421594,0.547371326,0.468927891,0.578216674,0.465040449,0.280992103,0.225805032,0.409481942,0.674691483,0.716703263,1
0.674446818,0.030967702,0.54681726,0.821526203,0.73967356,0.416276379,0.392918957,0.366125735,0.698060589,0.116230106,0.516519167,0.596363245,0.486994413,0.174211192,0.425423414,0.630746976,0.273990106,0.55218653,0.845004962,0.269484274,0.736039524,0.367481788,0.422956506,0.299258459,0.285352758,0.367175108,1
0.56204539,0.179019696,0.373364501,0.443068575,0.394441587,0.344553451,0.684227967,0.443136334,0.31181275,0.335343317,0.793924796,0.685003703,0.30912078,0.571408937,0.332550179,0.92284016,0.859170091,0.583254247,0.805109062,0.915643161,0.638343316,0.53077571,0.389470369,0.74965689,0.420104281,0.313087972,1
0.607390635,0.011876396,0.371741908,0.801324694,0.625155641,0.110456124,0.271332038,0.455185139,0.866575361,0.291429054,0.56601766,0.800401462,0.478772426,0.441843079,0.701303567,0.685412849,0.842479594,0.551830614,0.418000043,0.725382898,0.802135405,0.406677873,0.468159624,0.66426742,0.417828327,0.140012426,1
0.279194041,0.590333164,0.315520315,0.542597201,0.388040006,0.235454773,0.694870614,0.424245462,0.790411342,0.404385202,0.580568162,0.487105402,0.445652086,0.347278339,0.535077722,0.474775353,0.508224579,0.398594868,0.382799987,0.473819987,0.361092482,0.393886558,0.292114083,0.418049868,0.452122286,0.253278168,1
0.466046342,0.330040024,0.302691703,0.608272565,0.45522277,0.169610505,0.658879529,0.548960934,0.729074968,0.328019104,0.617700256,0.684042226,0.598134856,0.431588214,0.613062579,0.523332648,0.661591109,0.768874196,0.71340107,0.853657404,0.867301834,0.374203285,0.420052935,0.378497718,0.261912786,0.322203392,1
0.507631335,0.057926531,0.351990093,0.76790009,0.585446893,0.163688579,0.492565624,0.537457358,0.849739231,0.27247841,0.755749297,0.640176157,0.543478437,0.510087447,0.568945387,0.57050067,0.51665492,0.515952665,0.499375385,0.654396868,0.648109768,0.553717604,0.347385459,0.484020796,0.46981572,0.354446146,1
0.49813943,0.774057,0.166221399,0.037171509,0.155316154,0.245622101,0.807861495,0.89057246,0.033308954,0.129668902,0.824295869,0.150804977,0.31649333,0.359025902,0.214792272,0.375130005,0.705341909,0.161971646,0.783140309,0.463941659,0.361320546,0.615740976,0.354250438,0.04421352,0.478583401,0.297710761,1
0.523309871,0.232609821,0.886452419,0.756495263,0.867867583,0.772365419,0.784326225,0,0.781359914,0.27065945,0.592602877,0.633175015,0.347834093,0.526058697,0.433958832,0.408636451,0.520470791,0.485021811,0.516822686,0.450419084,0.78742514,0.633636035,0.358343292,0.541045996,0.345441061,0.187332878,1
0.713781286,0.133045026,0.408566351,0.768186576,0.604644868,0.215985421,0.495173587,0.35424407,0.75310204,0.254454841,0.664001574,0.67453117,0.636695329,0.494498592,0.519304974,0.485692862,0.790743963,0.523724544,0.613845279,0.613893298,0.776765978,0.598322743,0.443021908,0.559009852,0.457800661,0.30719208,1
0.75740808,0.092207492,0.101295189,0.115512861,0.158341003,0.136777606,0.442999223,0.522413775,0.71869095,0.288974062,0.861601589,0.421797169,0.550757704,0.476100364,0.590668771,0.49309211,0.730529511,0.536947474,0.838342726,0.590473325,0.701051487,0.690238162,0.577303539,0.655343632,0.687375127,0.378879502,1
0.57248844,0.160893989,0.55750092,0.740336973,0.671475747,0.412566386,0.540432406,0.264244226,0.529511071,0.203031272,0.461528434,0.441212174,0.43443704,0.222039243,0.509554481,0.305148045,0.477158262,0.428612326,0.518525153,0.499131324,0.542733311,0.444596953,0.352923558,0.301197729,0.274919363,0.184486591,1
0.938271658,0.082823168,0.136298197,0.139229481,0.218729699,0.148702585,0.517540493,0.848104212,0.332002105,0.407452465,0.959150485,0.348829666,0.923235799,0.49948242,0.51522213,0.843027667,0.64891786,0.405003372,0.920702596,0.407236165,0.757149623,0.678524189,0.300863687,0.592843259,0.527113892,0.223430348,1
0.300121919,0.608786484,0.30400779,0.441567004,0.437628573,0.224849384,0.874729361,0.617348788,0.396871084,0.431242999,0.27213362,0.999661384,0.335682273,0.55428316,0.310872516,0.501146682,0.665632829,0.291416164,0.578007264,0.352820192,0.99966503,0.382633409,0.814679733,0.589457694,0.705615972,0.266933777,1
